,date,speed,engine_load,throttle,heading,roll,pitch,sys,gyro,accel,mag,magx,magy,magz,gyrx,gyry,gyrz,linaccx,linaccy,linaxxz,time,time_diff
108,1517153165.15,57.0,0.5137254901960784,0.22745098039215686,258.0,-2.0625,20.9375,0,0,0,0.0,-20.5625,-61.5625,-38.0625,-0.0155555555556,-0.05333333333330001,-0.00666666666667,-1.25,1.2,0.94,363.62000012397766,4.670000076293945
109,1517153169.79,61.0,0.6352941176470588,0.16470588235294117,255.4375,-1.25,22.625,0,0,0,0.0,-19.5,-55.375,-38.0,0.0522222222222,0.025555555555599997,-0.013333333333299998,-1.61,-0.23,-0.32,368.25999999046326,4.639999866485596
110,1517153174.43,60.0,0.5725490196078431,0.15294117647058825,262.3125,-3.4375,22.5,0,0,0,0.0,-17.6875,-55.5,-36.75,0.151111111111,0.166666666667,0.05,0.16,1.1,-1.82,372.90000009536743,4.640000104904175
111,1517153179.05,64.0,0.19607843137254902,0.17647058823529413,263.1875,-5.4375,22.5625,0,0,0,0.0,-19.0,-54.5,-37.1875,-0.0177777777778,-0.044444444444399996,-0.0177777777778,-1.68,0.18,1.27,377.5199999809265,4.619999885559082
112,1517153183.72,65.0,0.1803921568627451,0.17647058823529413,263.3125,-5.25,23.0,0,0,0,0.0,-16.6875,-53.5625,-37.75,-0.161111111111,-0.0166666666667,-0.0355555555556,-1.89,-0.06,-0.98,382.19000005722046,4.670000076293945
113,1517153188.39,67.0,0.12941176470588237,0.1607843137254902,263.4375,-4.3125,23.5625,0,0,0,0.0,-19.5,-51.75,-38.375,-0.03,-0.008888888888889999,-0.022222222222199998,-2.13,1.91,0.97,386.8600001335144,4.670000076293945
114,1517153193.07,62.0,0.1411764705882353,0.1450980392156863,264.5,-1.625,24.625,0,0,0,0.0,-21.0625,-53.1875,-38.6875,-0.06888888888889999,0.0388888888889,-0.0144444444444,-2.14,0.27,-2.73,391.539999961853,4.679999828338623
115,1517153197.73,49.0,0.16470588235294117,0.1450980392156863,264.875,-3.9375,21.6875,0,0,0,0.0,-19.75,-53.5625,-38.0,0.0844444444444,-0.08222222222219999,-0.025555555555599997,-1.77,1.7,1.43,396.2000000476837,4.6600000858306885
116,1517153202.39,33.0,0.6431372549019608,0.14901960784313725,264.25,-3.5625,24.4375,0,0,0,0.0,-18.5625,-50.0,-38.75,-0.0288888888889,0.024444444444400002,-0.0022222222222199996,-1.45,1.88,-0.06,400.8600001335144,4.6600000858306885
117,1517153207.04,25.0,0.23137254901960785,0.14901960784313725,263.75,-7.75,22.75,0,0,0,0.0,-21.5,-63.5625,-35.25,-0.004444444444439999,0.008888888888889999,-0.0022222222222199996,-0.38,0.23,0.01,405.50999999046326,4.6499998569488525
